Page,Item,Title,Date
12,9,"김진태 지사, 스마트 경로당 1호점 찾아 어르신과 간담회",2024/09/10
12,10,"소노인터내셔널, 추석 맞이 리조트 내 다채로운 프로그램 선보여",2024/09/10
13,1,"홍천군, 2024년 노인건강 진단실시",2024/09/10
13,2,"홍천군, 추석 대비 ‘전통시장 안전·보건 분야’ 합동 점검",2024/09/10
13,3,"김진태 지사 “스마트 경로당, 지속적으로 확대”",2024/09/10
13,4,"홍천군, 제29회 강원자치도 사물놀이 행사 개최",2024/09/10
13,5,양구군청 펜싱·역도·테니스 실업팀 성적 쑥쑥,2024/09/10
13,6,“요즘 기분 어때요?” 홍천서 11일 자살예방 행사 열려,2024/09/10
13,7,"홍천군·사단법인 '이웃', 복지사각지대 장기입원자 고향서 새 삶 '선물'",2024/09/10
13,8,"홍천군, 복지 사각지대에 놓인 이웃 적극 발굴",2024/09/10
13,9,"대한노인회 홍천군지회, 노인 일자리 사업 및 사회활동 지원사업 문화 활동",2024/09/10
13,10,"홍천군, 자살 예방의 날 기념 ‘요즘 기분 어때요?’ 운영",2024/09/10
14,1,"""정부발행 상품권 하나로마트 사용 제한 개선 필요""",2024/09/10
14,2,강릉 공장 작업자 2명 추락사고…원주·홍천서 차량 화재,2024/09/10
14,3,[언중언]악성 민원인,2024/09/10
14,4,강릉 공장서 천장 작업중이던 근로자 3~4m 아래로 추락… 2명 병원 이송,2024/09/09
14,5,강원 정선·북부산지에 폭염주의보 발효…춘천 등 5곳 유지,2024/09/09
14,6,[포토뉴스] 홍천군조합운영협의회-유상범 국회의원 농정 간담회,2024/09/09
14,7,[포토뉴스] 홍천군자원봉사센터 탄소정화식물 식재 체험,2024/09/09
14,8,“반려동물 친화 관광도시” 홍천서 첫 국제 도그쇼,2024/09/09
14,9,“추석 경기 살리자” 홍천사랑상품권 구매 한도 50만원→100만원,2024/09/09
14,10,"강원농협, 수확철 맞이 대학생들과 농촌일손돕기 ‘구슬땀’",2024/09/09
15,1,"홍천군, 홍천사랑상품권 구매한도 100만원 상향 조정",2024/09/09
15,2,홍천군 <홍천메밀꽃 축제> 13일 개막!,2024/09/09
15,3,"홍천군, 반려동물 문화 축제 & 홍천 FCI 국제 도그쇼",2024/09/09
15,4,강원 춘천·철원·화천에 폭염주의보,2024/09/09
15,5,"홍천군, 2024년 추석 명절맞이 홍천사랑상품권 이벤트",2024/09/09
15,6,"파리올림픽 메달리스트, 홍천 찾아 펜싱 꿈나무 응원",2024/09/09
15,7,홍천 외국인 계절근로자 57% 체류 연장… 지역농가 환영,2024/09/09
15,8,"[사설]지원사업 잇단 선정, 주목받는 ‘홍천항체클러스터’",2024/09/09
15,9,홍천 고령운전자 면허반납 인센티브 20만→30만원 오른다,2024/09/09
15,10,"더불어민주당 도당, 지방선거 이끌 주요 당직 인선 추진",2024/09/09
16,1,"고창군, 대한민국 책읽는 지자체 대상 수상",2024/09/09
16,2,용준식 홍천군의원 제4회 대한민국 책 읽는 의원 대상 수상,2024/09/08
16,3,9월 초인데 폭염특보 곳곳...무더위 기승,2024/09/08
16,4,"고창군, 대한민국 책읽는 지자체 대상 수상",2024/09/08
16,5,제1회 강원특별자치도 청년대상 수상자로 ㈜더픽트 선정,2024/09/08
16,6,"[포토뉴스]강원농협, 수확철 맞이 대학생들과 농촌일손돕기",2024/09/08
16,7,명성 굳힌 홍천 한우 … 강원축산경진대회 휩쓸어,2024/09/08
16,8,[포토뉴스] 제17회 홍천군 장애인 IT활용 대회 시상식,2024/09/08
16,9,[포토뉴스] 홍천읍 김영만씨 이웃돕기 성금·성품 기탁,2024/09/08
16,10,서울 서북·경기 하남 등 전국 폭염주의보,2024/09/08
17,1,강원 원주·홍천에 폭염주의보,2024/09/08
17,2,제1회 강원특별자치도 청년대상 전창대 더픽트 대표 수상,2024/09/08
17,3,"고창군, ‘2024 대한민국 책읽는 지자체 대상’ 수상",2024/09/08
17,4,"강원자치도, 제1회 청년대상 수상자 선정",2024/09/08
17,5,"홍천군의회, 펜싱 국가대표 방문 환영",2024/09/07
